student_id,stream,district,difficulty_level,english_fluency,tuition_hours_weekly,commute_fatigue,current_score,hours_needed
1,Bio Science,Gampaha,6,7,7,0.03502646983451213,80.8421468931744,12.5
2,English,Gampaha,2,8,12,0.31078525293561077,73.72376804925635,2.7
3,Arts,Colombo,4,8,15,0.2956976220992653,49.456463565750795,7.4
4,Commerce,Kandy,7,10,8,0.020738643474980056,73.47118992972992,11.5
5,Physical Science,Gampaha,6,7,1,0.2302389172184744,74.74338132173399,12.3
6,Physical Science,Galle,9,4,1,0.2178841539530173,41.94025419368768,21.7
7,Physical Science,Ratnapura,7,5,14,0.2733445648512775,32.968907562000666,18.3
8,Technology,Kandy,1,7,6,0.3689223552183937,47.37100996832473,1.5
9,Commerce,Galle,6,5,10,0.14140002378109706,63.46250468474578,10.4
10,Arts,Galle,3,5,7,0.21639014179190513,78.64682517571903,3.9
11,Physical Science,Galle,8,7,14,0.3963713421804825,53.63571948725307,19.4
12,English,Jaffna,1,5,4,0.46127819523028435,70.32680399981702,1.0
13,Technology,UpCountry,10,5,1,0.44566148652493903,17.114282978272826,20.4
14,Physical Science,Gampaha,2,4,13,0.23881547604702086,69.20460080540121,5.9
15,Physical Science,Kandy,3,8,9,0.26043289850105095,58.39889319171855,5.1
16,Physical Science,Ratnapura,3,6,4,0.2645527210760797,93.47898172459098,4.3
17,Bio Science,Ratnapura,7,6,2,0.4343577848537424,32.618705691510186,15.8
18,Commerce,Colombo,8,9,12,0.4199697534690004,65.78247775793656,15.9
19,Bio Science,Colombo,9,9,8,0.15576626427267254,35.52667972563383,19.9
20,Physical Science,Colombo,7,9,15,0.08142484471101763,59.25438400256324,17.1
21,Commerce,Colombo,8,6,15,0.1894872807460508,41.9826755159406,17.0
22,Physical Science,Ratnapura,6,8,1,0.14420319162470058,95.01183110136242,11.4
23,Physical Science,UpCountry,2,5,8,0.47539036240745475,58.66678197908518,3.3
24,Bio Science,Ratnapura,1,7,1,0.1329578397193258,57.33455760034974,1.0
25,Bio Science,Jaffna,3,6,0,0.09060334086346777,59.358994123420445,5.1
26,Arts,Colombo,9,7,9,0.44973953127960775,47.51584810818624,17.6
27,Physical Science,UpCountry,7,3,5,0.04323930217803551,78.32858100491164,15.4
28,Commerce,Galle,2,4,10,0.1301330257132301,74.60291218229513,4.2
29,Commerce,Jaffna,1,5,5,0.2195555970002942,76.2690754400767,1.0
30,Physical Science,Jaffna,2,8,3,0.29755368907984103,43.23057176945565,4.0
31,Commerce,Ratnapura,3,6,12,0.16383644818665316,83.02972822866076,3.7
32,Physical Science,RemoteArea,6,2,1,0.2481169984605025,75.79761918989462,13.6
33,Physical Science,Galle,9,5,12,0.09941559321530324,62.51410447513774,22.5
34,English,Galle,8,5,9,0.2871370601127427,77.92531613315346,13.6
35,English,Jaffna,10,6,11,0.20390840413982975,69.59007434941431,20.3
36,Technology,Gampaha,9,4,10,0.4246298436342252,41.09000701788537,19.0
37,Bio Science,Galle,8,6,2,0.2078670666943262,58.257911471319396,18.0
38,Physical Science,Colombo,7,6,12,0.22190770894102513,58.77734943330529,16.4
39,Commerce,Kandy,6,7,5,0.29608749467120626,63.781289320718415,10.3
40,Bio Science,Ratnapura,8,6,3,0.061585002038470726,76.81689431599962,16.8
41,Physical Science,UpCountry,6,4,4,0.07839758835314053,37.379879967041816,14.5
42,Bio Science,Colombo,2,10,10,0.3951188736136202,58.34633137939345,4.3
43,Physical Science,Colombo,9,8,8,0.13670938956977352,51.672438505579905,19.8
44,English,Kandy,9,6,4,0.342348464464228,50.3166304203394,16.7
45,Physical Science,Galle,3,8,9,0.04871348498860106,52.153364267496485,6.2
46,Commerce,Kandy,9,8,15,0.41092333015900656,68.52255533220657,18.7
47,Bio Science,Colombo,2,8,14,0.49411405545947856,74.8476317925601,4.3
48,Commerce,Ratnapura,3,8,10,0.18684547260389217,70.22487438334288,3.1
49,Commerce,Galle,6,5,7,0.25276505095744833,66.28502311338735,10.4
50,Physical Science,RemoteArea,4,4,1,0.22135598991990113,69.82616731738464,9.3
51,English,Galle,8,7,15,0.44709387431951175,100.0,14.5
52,Arts,Gampaha,1,5,11,0.004967018848439808,67.5383712147083,1.0
53,English,UpCountry,6,4,13,0.32672966058191805,81.8170760421991,12.3
54,Technology,Gampaha,2,5,5,0.3261841364017664,76.96275151856781,2.2
55,Commerce,Kandy,6,6,10,0.19119250414897654,91.66691244545926,11.0
56,English,Gampaha,1,5,10,0.10966682105850728,73.40778297425108,1.0
57,Physical Science,Gampaha,2,8,5,0.11984134070751784,49.83525728539098,3.6
58,Physical Science,Galle,9,6,4,0.40023206060694555,66.57322881532818,20.6
59,Physical Science,Kandy,6,7,14,0.03305154818747952,70.76708115126321,13.4
60,Bio Science,Gampaha,8,7,5,0.2819120731371795,74.72773913181665,16.7
61,Bio Science,Colombo,7,6,13,0.15342030148913277,53.39904995750868,16.0
62,Physical Science,Ratnapura,9,4,4,0.1326239062341602,80.99481610939428,20.7
63,Technology,Kandy,9,7,15,0.25286883276551797,67.57855723710179,17.7
64,Bio Science,Colombo,4,10,1,0.4489307531398835,73.09068880897598,7.1
65,Physical Science,Colombo,7,6,4,0.3090459595186654,66.6450973711045,16.0
66,Commerce,Jaffna,5,5,0,0.39430531387766177,61.83886167480003,8.8
67,Physical Science,Jaffna,7,5,2,0.3003418896314405,64.50784615725655,16.0
68,Technology,Galle,4,4,13,0.34885788993637035,76.57988017071835,7.2
69,Physical Science,Kandy,10,7,6,0.21620382439664781,92.37982191107129,22.1
70,Sinhala,Galle,1,5,3,0.46299081760409194,31.239339227565686,1.6
71,Arts,UpCountry,4,5,7,0.25096951021958047,71.60004423386083,6.7
72,Physical Science,Galle,10,5,2,0.27588733461338155,61.65951694001121,22.6
73,Physical Science,Kandy,3,7,6,0.2624827516274248,60.34340149193093,5.9
74,Technology,Gampaha,9,8,13,0.15809451008245923,31.050826653086993,19.2
75,Arts,RemoteArea,5,2,1,0.11561921779959283,69.20311521882526,9.2
76,Arts,Colombo,4,10,13,0.036917482057777506,64.62544044678029,6.2
77,Arts,Colombo,8,8,7,0.3590874910012743,50.983572984854405,14.8
78,Physical Science,Gampaha,5,8,14,0.1446376315851854,67.63719959076228,10.3
79,Bio Science,Ratnapura,3,6,12,0.1945989815978036,61.6081465340268,5.8
80,Physical Science,RemoteArea,2,4,2,0.45996408136310635,34.86410249472763,5.7
81,Technology,Kandy,8,10,12,0.28322367470593685,67.32277078737188,14.9
82,Commerce,Kandy,2,9,5,0.048539031951969125,71.20110294550021,2.0
83,Bio Science,Jaffna,8,8,1,0.39980595641192485,52.2614987797891,18.3
84,Physical Science,Gampaha,5,4,6,0.12806529955472773,66.92569249027684,11.6
85,Bio Science,Ratnapura,8,8,12,0.27635292132309125,67.62167961840245,19.5
86,Bio Science,Kandy,5,9,3,0.2549907374319953,77.18238333856164,9.8
87,Arts,Jaffna,1,8,5,0.11903942117594035,60.94461409496989,1.0
88,Commerce,Gampaha,2,7,1,0.05788551739729053,72.51637758740345,1.9
89,Technology,Galle,6,4,2,0.10563080324748403,56.29970866271713,10.4
90,Bio Science,Colombo,3,7,14,0.0486688997819828,96.50982942242783,4.4
91,Physical Science,Colombo,8,9,15,0.1378140094760506,60.94737602040169,19.5
92,Arts,Colombo,5,9,2,0.49864875536873227,50.72501313501547,9.8
93,Arts,Gampaha,3,7,3,0.20104613262069126,59.992618208340936,4.1
94,Commerce,Galle,10,4,0,0.43194419566750514,49.07971641734141,19.6
95,Arts,Galle,7,6,15,0.2745888460645307,48.77015349159248,12.8
96,Bio Science,Gampaha,8,7,12,0.3332915396668665,76.91403531386813,19.3
97,Commerce,Kandy,4,6,5,0.0781739848752781,16.560269294729522,7.4
98,Bio Science,Jaffna,9,5,10,0.13740293371098772,54.236999660009076,21.1
99,Physical Science,Colombo,6,9,5,0.25522171151446277,42.3735412817237,12.8
100,Physical Science,Colombo,1,8,3,0.4405717171134203,63.63254100290793,1.3
101,Physical Science,RemoteArea,5,2,7,0.021444017942470084,30.66326495403198,13.4
102,Commerce,Kandy,5,7,15,0.25345997978286045,75.71776267417381,8.8
103,Bio Science,RemoteArea,7,4,4,0.025506106254214955,71.84134890241283,15.2
104,Commerce,Gampaha,7,5,9,0.22841133822464127,40.010729321473875,14.5
105,English,Jaffna,6,6,13,0.3144340796663184,69.35904054249377,12.1
106,Physical Science,Colombo,8,10,3,0.37236159571415367,69.24088925730294,17.5
107,Bio Science,Colombo,2,10,6,0.06926600263031335,77.10450561624282,2.8
108,Arts,Kandy,7,10,9,0.08328764173067404,42.46605995075308,13.2
109,Physical Science,Gampaha,10,5,14,0.2350324608458953,42.85608036245133,25.6
110,Physical Science,Colombo,7,10,9,0.499018228989537,87.03973832505137,14.2
111,Physical Science,Colombo,4,6,15,0.1780234178283817,55.17165442020571,9.1
112,Physical Science,Ratnapura,10,4,7,0.21376371368145514,55.58893737487169,24.8
113,English,Jaffna,2,8,1,0.21622337140727577,69.99641785629316,2.4
114,Technology,Gampaha,4,6,12,0.04035041067854772,48.46198465095778,7.3
115,Commerce,Ratnapura,4,6,0,0.38708607264499767,56.012258803708114,6.6
116,Technology,Colombo,6,7,5,0.12655076221305372,75.87616439129587,9.3
117,Technology,Colombo,7,8,15,0.35183352844145993,46.18346673986218,13.6
118,Physical Science,Kandy,3,9,1,0.23754493941779536,52.99993505906736,6.3
119,Technology,Ratnapura,10,6,10,0.305889871109692,48.099145700163575,18.9
120,Commerce,Galle,1,4,7,0.026985818247498128,51.890968716623966,1.2
121,Technology,Ratnapura,3,6,12,0.4449828422082831,83.78472870196008,4.9
122,Technology,Colombo,9,7,4,0.12192838470985667,83.07595450949101,15.2
123,Bio Science,Galle,1,6,1,0.3350476937504185,64.36751194138193,1.0
124,Physical Science,Jaffna,8,5,10,0.39900955603308086,72.98314526941209,17.3
125,Physical Science,Ratnapura,2,7,11,0.27001935864159854,73.07282351851138,3.0
126,Bio Science,Galle,6,8,4,0.1686670110393121,51.91496035866232,13.2
127,Technology,Gampaha,3,7,1,0.4889516872405384,64.07225756275264,4.4
128,Technology,Galle,7,4,5,0.1392198566353478,43.0703741478911,14.8
129,Physical Science,Kandy,2,9,7,0.4743311685616352,49.12145765128072,4.4
130,Commerce,Jaffna,4,7,1,0.07811206684236588,59.197976803838415,5.9
131,Bio Science,RemoteArea,10,2,5,0.19461106576117176,46.58543509528958,24.3
132,Physical Science,Colombo,9,6,5,0.06924779207365112,43.40909375246203,20.1
133,Physical Science,Kandy,6,10,0,0.0011202365368480072,49.32153258814577,12.8
134,Bio Science,Gampaha,4,8,8,0.13012927019823745,81.19500587787842,7.9
135,English,Ratnapura,2,6,14,0.043605200459477356,90.35708730840574,1.0
136,Bio Science,Ratnapura,10,5,15,0.4931727615451736,67.01159959568604,25.0
137,Commerce,Colombo,9,6,11,0.3808266589759013,74.23298386817228,17.5
138,Arts,Kandy,4,9,7,0.0018523981610044093,55.04758816782891,6.4
139,Bio Science,Kandy,9,9,11,0.11182329241179606,34.51529810170675,22.9
140,Sinhala,Kandy,2,10,13,0.3350621206418585,53.097162790474165,3.8
141,English,Ratnapura,7,5,3,0.19927605658237724,56.87483950988698,12.1
142,Physical Science,Gampaha,5,4,6,0.41592128152211366,65.11453922999198,12.5
143,Bio Science,UpCountry,8,6,3,0.2524303891878658,59.98535842622722,18.3
144,Bio Science,Gampaha,8,5,7,0.32682570986621456,59.275315782237996,17.7
145,Physical Science,Kandy,4,6,9,0.2985186987972403,55.88050451991766,8.3
146,Physical Science,Galle,4,7,1,0.31908445031181715,65.65793817068398,8.1
147,Commerce,Galle,8,7,1,0.11504942691359005,40.04162332439542,14.8
148,Commerce,Kandy,3,10,2,0.1866447196030958,73.03094066997232,4.0
149,Physical Science,Galle,7,5,13,0.02531462643224569,57.70473666850394,16.8
150,Physical Science,Gampaha,8,7,3,0.2938182573441044,92.50647379040919,16.6
151,English,Galle,8,5,10,0.2296292310378878,60.27026690360425,14.4
152,Physical Science,Colombo,10,10,12,0.3803580745095361,58.7973641493993,25.1
153,Physical Science,Colombo,4,8,5,0.10319123231082106,54.059707163366426,7.8
154,Bio Science,Ratnapura,9,5,14,0.2184060580339009,59.94696086166804,21.8
155,Sinhala,Galle,10,5,4,0.09037271652869311,71.10842087637099,17.4
156,Physical Science,Gampaha,4,8,9,0.30698961262422103,63.865856979142926,8.1
157,Commerce,Colombo,8,8,12,0.424015128255726,80.80622498942239,15.7
158,Arts,Colombo,6,9,9,0.3827216242244925,71.46632200400668,10.2
159,Physical Science,UpCountry,5,2,6,0.4720989863154436,63.472386892259266,11.9
160,Arts,Galle,4,8,5,0.4858628909317955,68.09431503397987,6.7
161,Bio Science,Kandy,5,6,13,0.38601693379099533,84.44520332245581,11.1
162,Commerce,Kandy,1,8,14,0.14340304269012932,76.85043944576493,1.0
163,Commerce,Gampaha,7,6,14,0.10963068860765912,71.20835490160819,14.1
164,Commerce,Gampaha,8,5,15,0.22377451727447184,73.84113832512888,15.0
165,Physical Science,UpCountry,9,2,3,0.49694184728856033,44.2097274652227,22.5
166,Technology,Colombo,3,6,10,0.20633401040857768,100.0,3.5
167,Bio Science,Gampaha,9,6,9,0.09953420528613438,72.42188580946717,19.0
168,Physical Science,Gampaha,10,4,8,0.4721714388916205,73.41872038832506,25.0
169,Physical Science,Gampaha,5,7,6,0.19295898879801138,62.5696141793307,10.3
170,Commerce,Gampaha,10,6,0,0.34544944361381547,25.536478444733213,20.1
171,Commerce,Kandy,6,7,7,0.3940764893072934,59.51984622103912,10.8
172,Physical Science,Colombo,1,7,3,0.42157795102976703,62.639207040919736,1.7
173,Commerce,Kandy,9,7,6,0.4106401935613952,50.657432671707305,16.6
174,Physical Science,Colombo,9,6,10,0.41812343149999004,52.526701877987904,21.5
175,Commerce,Colombo,6,8,1,0.3338267137889404,55.41122056161075,10.9
176,Physical Science,Ratnapura,8,5,15,0.20191553463622997,79.07293265322073,19.0
177,Commerce,Galle,4,6,11,0.33364342703191857,84.33631412561229,6.0
178,Bio Science,Gampaha,5,4,2,0.41836716702995663,63.56444432409538,12.4
179,English,Kandy,5,9,0,0.17532123231221053,51.48931911148593,8.2
180,Physical Science,Jaffna,7,7,1,0.14825399514602006,55.06423189781333,15.8
181,Bio Science,Jaffna,7,7,10,0.17185360855258175,66.49301003390067,14.3
